Date,Open,High,Low,Close,Volume
02/04/2025,"221,32","225,19","220,08","223,89",35905904
03/04/2025,"205,54","207,49","220,47","203,19",103419006
04/04/2025,"193,89","199,88","220,56","188,38",125910913
07/04/2025,"177,2","194,15","217,68","181,46",160466286
08/04/2025,"186,7","190,34","216,23","172,42",120859491
09/04/2025,"171,95","200,61","218,9","198,85",184395885
10/04/2025,"189,07","194,78","221,02","190,42",121879981
11/04/2025,"186,1","199,54","201,25","198,15",87435915
14/04/2025,"211,44","212,94","187,34","202,52",101352911
15/04/2025,"201,86","203,51","174,62","202,14",51343872
16/04/2025,"198,36","200,7","169,21","194,27",59732423
17/04/2025,"197,2","198,83","171,89","196,98",52164675
21/04/2025,"193,27","193,8",183,"193,16",46742537
22/04/2025,"196,12","201,59","186,06","199,74",52976371
23/04/2025,206,208,"201,16","204,6",52929165
24/04/2025,"204,89","208,83","199,8","208,37",47310989
25/04/2025,"206,37","209,75","192,37","209,28",38222258
28/04/2025,210,"211,5","194,42","210,14",38743074
29/04/2025,"208,69","212,24","189,81","211,21",36827633
30/04/2025,"209,3","213,58","195,97","212,5",52286454
01/05/2025,"209,08","214,56","202,8","213,32",57365675
02/05/2025,"206,09","206,99","202,94","205,35",101010621
05/05/2025,"203,1","204,1","206,2","198,89",69018452
06/05/2025,"198,21","200,65","207,46","198,51",51216482
07/05/2025,"199,17","199,44","208,37","196,25",68616943
08/05/2025,"197,72","200,05","206,67","197,49",50478872
09/05/2025,199,"200,54","208,9","198,53",36453923
12/05/2025,"210,97","211,27","202,16","210,79",63775814
13/05/2025,"210,43","213,4","198,21","212,93",51909332
14/05/2025,"212,43","213,94","197,02","212,33",49325825
15/05/2025,"210,95","212,96","193,25","211,45",45029473
16/05/2025,"212,36","212,57","194,68","211,26",54737850
19/05/2025,"207,91","209,48","197,54","208,78",46140527
20/05/2025,"207,67","208,47","206,75","206,86",42496635
21/05/2025,"205,17","207,04",209,"202,09",59211774
22/05/2025,"205,17","207,04","210,58","202,09",1536434
23/05/2025,"193,67","197,7","209,54","195,27",78432918
27/05/2025,"198,3","200,74","209,77","200,21",56288475
28/05/2025,"200,59","202,73","204,26","200,42",45339678
29/05/2025,"203,58","203,81","205,03","199,95",51477938
30/05/2025,"199,37","201,96","200,71","200,85",70819942
02/06/2025,"200,28","202,13","200,71","201,7",35423294
03/06/2025,"201,35","203,77","193,46","203,27",46381567
04/06/2025,"202,91","206,24","197,43","202,82",43603985
05/06/2025,"203,5","204,75","199,9","200,63",55221235
06/06/2025,203,"205,7","198,51","203,92",46607693
09/06/2025,"204,39",206,"196,78","201,45",72862557
10/06/2025,"200,6","204,35","200,12","202,67",54672608
11/06/2025,"203,5","204,5","200,96","198,78",60989857
12/06/2025,"199,08","199,68","202,1","199,2",43904635
13/06/2025,"199,73","200,37","200,15","196,45",51447349
16/06/2025,"197,3","198,69","202,05","198,42",43020691
17/06/2025,"197,2","198,39","200,02","195,64",38084259
,,,"200,57",,
,,,"198,41",,
,,,"197,36",,
,,,"195,7",,
,,,"196,56",,
,,,"195,21",,
